Time,UID,TGID,TID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,Command
1473366894,1000,2625,0,"45,00","10,00","0,00","55,00",2,"13980,00","0,00",1799624,586140,"15,45","8,00","1596,00","0,00",firefox
1473366895,1000,2625,0,"24,00","9,00","0,00","33,00",1,"15255,00","0,00",1799624,584420,"15,40","0,00","0,00","0,00",firefox
1473366896,1000,2625,0,"24,00","7,00","0,00","31,00",1,"13059,00","0,00",1799624,586260,"15,45","0,00","0,00","0,00",firefox
1473366897,1000,2625,0,"27,00","9,00","0,00","36,00",3,"13523,00","0,00",1799624,585972,"15,44","0,00","0,00","0,00",firefox
1473366898,1000,2625,0,"34,00","6,00","0,00","40,00",1,"13310,00","0,00",1799688,586452,"15,45","0,00","108,00","4,00",firefox
1473366899,1000,2625,0,"32,00","7,00","0,00","39,00",1,"13069,00","0,00",1799688,587360,"15,48","0,00","828,00","0,00",firefox
1473366900,1000,2625,0,"27,00","9,00","0,00","36,00",2,"14937,00","0,00",1799688,584340,"15,40","0,00","0,00","0,00",firefox
1473366901,1000,2625,0,"37,00","5,00","0,00","42,00",0,"13912,00","0,00",1799688,588880,"15,52","0,00","8,00","0,00",firefox
1473366902,1000,2625,0,"24,00","4,00","0,00","28,00",0,"12713,00","0,00",1799688,588736,"15,51","0,00","12,00","0,00",firefox
1473366903,1000,2625,0,"26,00","4,00","0,00","30,00",0,"12864,00","0,00",1799688,589736,"15,54","0,00","16,00","4,00",firefox
