Time,UID,TGID,TID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,kB_rd/s,kB_wr/s,kB_ccwr/s,Command
1473281044,1000,12538,0,"0,00","0,00","0,00","0,00",2,"0,00","0,00",4648984,527800,"13,91","0,00","0,00","0,00",java
1473281045,1000,12538,0,"22,00","0,00","0,00","22,00",2,"51,00","0,00",4648984,527800,"13,91","36,00","0,00","0,00",java
1473281046,1000,12538,0,"64,00","1,00","0,00","65,00",2,"386,00","0,00",4648984,529008,"13,94","416,00","0,00","0,00",java
1473281047,1000,12538,0,"17,00","1,00","0,00","18,00",2,"33,00","0,00",4648984,528896,"13,94","4,00","0,00","0,00",java
1473281048,1000,12538,0,"3,00","0,00","0,00","3,00",2,"2,00","0,00",4648984,528896,"13,94","0,00","0,00","0,00",java
1473281049,1000,12538,0,"7,00","0,00","0,00","7,00",2,"42,00","0,00",4648984,529000,"13,94","0,00","0,00","0,00",java
1473281050,1000,12538,0,"37,00","1,00","0,00","38,00",2,"148,00","0,00",4648984,529992,"13,97","60,00","0,00","0,00",java
1473281051,1000,12538,0,"13,00","2,00","0,00","15,00",2,"65,00","0,00",4648984,530264,"13,97","0,00","16,00","0,00",java
1473281052,1000,12538,0,"21,00","1,00","0,00","22,00",2,"490,00","0,00",4651508,531980,"14,02","1652,00","0,00","0,00",java
1473281053,1000,12538,0,"38,00","1,00","0,00","39,00",2,"1062,00","1,00",4654568,536032,"14,13","4088,00","4,00","0,00",java
1473281054,1000,12538,0,"68,00","2,00","0,00","70,00",2,"976,00","0,00",4657280,539684,"14,22","3148,00","8,00","0,00",java
1473281055,1000,12538,0,"124,00","2,00","0,00","126,00",2,"2032,00","0,00",4661432,545988,"14,39","2468,00","0,00","0,00",java
1473281056,1000,12538,0,"76,00","4,00","0,00","80,00",2,"2925,00","0,00",4664016,554856,"14,62","2924,00","20,00","0,00",java
1473281057,1000,12538,0,"108,00","3,00","0,00","111,00",2,"1678,00","0,00",4668988,560504,"14,77","2012,00","4,00","0,00",java
1473281058,1000,12538,0,"152,00","1,00","0,00","153,00",2,"1253,00","0,00",4671036,565524,"14,90","2948,00","0,00","0,00",java
1473281059,1000,12538,0,"134,00","2,00","0,00","136,00",2,"904,00","0,00",4673220,568496,"14,98","2660,00","0,00","0,00",java
1473281060,1000,12538,0,"266,00","8,00","0,00","274,00",2,"1891,00","0,00",4664112,563884,"14,86","2016,00","8,00","0,00",java
1473281061,1000,12538,0,"84,00","2,00","0,00","86,00",2,"1127,00","0,00",4668248,568188,"14,97","3284,00","0,00","0,00",java
1473281062,1000,12538,0,"76,00","3,00","0,00","79,00",2,"1675,00","0,00",4670424,572584,"15,09","3524,00","0,00","0,00",java
1473281063,1000,12538,0,"186,00","5,00","0,00","191,00",2,"5169,00","0,00",4672472,592340,"15,61","3076,00","2280,00","0,00",java
