22:08:05,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff
22:08:06,"0,00","0,00","320,00","0,00","984,00","0,00","0,00","0,00","0,00"
22:08:07,"0,00","116,00","138,00","0,00","912,00","0,00","0,00","0,00","0,00"
22:08:08,"320,00","552,00","3277,00","10,00","16444,00","0,00","0,00","0,00","0,00"
22:08:09,"0,00","204,00","138,00","0,00","914,00","0,00","0,00","0,00","0,00"
22:08:10,"0,00","168,00","314,00","0,00","1790,00","0,00","0,00","0,00","0,00"
22:08:11,"4,00","584,00","1876,00","0,00","7668,00","0,00","0,00","0,00","0,00"
22:08:12,"4,00","0,00","1673,00","1,00","2732,00","0,00","0,00","0,00","0,00"
22:08:13,"0,00","0,00","398,00","0,00","1331,00","0,00","0,00","0,00","0,00"
22:08:14,"0,00","0,00","271,00","0,00","1365,00","0,00","0,00","0,00","0,00"
22:08:15,"0,00","0,00","166,00","0,00","1776,00","0,00","0,00","0,00","0,00"
22:08:16,"0,00","44,00","159,00","0,00","990,00","0,00","0,00","0,00","0,00"
22:08:17,"0,00","0,00","154,00","0,00","860,00","0,00","0,00","0,00","0,00"
22:08:18,"0,00","36,00","132,00","0,00","773,00","0,00","0,00","0,00","0,00"
22:08:19,"0,00","0,00","143,00","0,00","703,00","0,00","0,00","0,00","0,00"
22:08:20,"908,00","192,00","3187,00","11,00","1948,00","0,00","0,00","0,00","0,00"
22:08:21,"556,00","0,00","1822,00","2,00","2073,00","0,00","0,00","0,00","0,00"
22:08:22,"4,00","172,00","184,00","0,00","1001,00","0,00","0,00","0,00","0,00"
22:08:23,"648,00","288,00","941,00","0,00","1740,00","0,00","0,00","0,00","0,00"
22:08:24,"1464,00","0,00","419,00","0,00","1285,00","0,00","0,00","0,00","0,00"
22:08:25,"1600,00","0,00","356,00","0,00","1050,00","0,00","0,00","0,00","0,00"
22:08:26,"3632,00","0,00","666,00","6,00","923,00","0,00","0,00","0,00","0,00"
22:08:27,"17756,00","0,00","526,00","0,00","960,00","0,00","0,00","0,00","0,00"
22:08:28,"17828,00","0,00","270,00","0,00","2180,00","1234,00","0,00","1127,00","91,33"
22:08:29,"11428,00","356,00","236,00","0,00","11144,00","9326,00","0,00","8646,00","92,71"
22:08:30,"16036,00","3572,00","279,00","0,00","16604,00","15927,00","0,00","14743,00","92,57"
22:08:31,"7812,00","52016,00","236,00","0,00","8730,00","11015,00","113,00","7017,00","63,06"
22:08:32,"7684,00","0,00","205,00","0,00","7146,00","10924,00","0,00","5033,00","46,07"
22:08:33,"14976,00","0,00","272,00","0,00","15100,00","22235,00","0,00","12935,00","58,17"
22:08:34,"15104,00","0,00","283,00","0,00","15536,00","21429,00","0,00","13368,00","62,38"
22:08:35,"14336,00","52,00","376,00","0,00","16839,00","14542,00","0,00","14013,00","96,36"
22:08:36,"15232,00","0,00","271,00","0,00","15059,00","13816,00","0,00","13692,00","99,10"
22:08:37,"15360,00","0,00","262,00","0,00","15083,00","14166,00","0,00","13790,00","97,35"
22:08:38,"15232,00","0,00","264,00","0,00","14769,00","13422,00","0,00","13422,00","100,00"
22:08:39,"15024,00","0,00","263,00","0,00","15497,00","14009,00","0,00","14009,00","100,00"
22:08:40,"15104,00","0,00","263,00","0,00","16777,00","15113,00","0,00","15113,00","100,00"
22:08:41,"13248,00","136,00","247,00","0,00","13025,00","11444,00","0,00","11183,00","97,72"
22:08:42,"14720,00","20,00","265,00","0,00","15095,00","14755,00","0,00","13612,00","92,25"
22:08:43,"15112,00","0,00","262,00","0,00","15449,00","16365,00","0,00","13591,00","83,05"
22:08:44,"14208,00","36,00","347,00","0,00","17424,00","11798,00","0,00","10254,00","86,91"
22:08:45,"15232,00","0,00","261,00","0,00","12875,00","13151,00","0,00","10683,00","81,23"
22:08:46,"14976,00","4,00","276,00","0,00","16410,00","18394,00","0,00","14877,00","80,88"
22:08:47,"14976,00","0,00","289,00","0,00","16552,00","17801,00","74,00","14514,00","81,20"
22:08:48,"14340,00","4,00","344,00","0,00","13583,00","14620,00","0,00","11657,00","79,73"
22:08:49,"14204,00","0,00","369,00","4,00","16436,00","17529,00","0,00","14341,00","81,81"
22:08:50,"14208,00","92,00","301,00","0,00","16366,00","18394,00","0,00","14529,00","78,99"
22:08:51,"13952,00","252,00","259,00","0,00","15685,00","18077,00","0,00","13615,00","75,32"
22:08:52,"11996,00","1568,00","693,00","1,00","13444,00","14934,00","0,00","10725,00","71,82"
22:08:53,"12448,00","2664,00","314,00","0,00","13492,00","15478,00","0,00","10867,00","70,21"
